,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,target
0,Even Suzanne has really joked around.,Even Suzanne has ever joked around.,Even Suzanne has,really,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,0,Even
1,Even many teenagers clearly boycott those legislatures.,Even many teenagers ever boycott those legislatures.,Even many teenagers,clearly,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,1,Even
2,Even every cashier had clearly found out who hasn't sung.,Even every cashier had ever found out who hasn't sung.,Even every cashier had,clearly,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,2,Even
3,Even Mark might often irritate the pedestrians.,Even Mark might ever irritate the pedestrians.,Even Mark might,often,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,3,Even
4,Even Tara had really baked.,Even Tara had ever baked.,Even Tara had,really,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,4,Even
5,Even these trucks have often slowed.,Even these trucks have ever slowed.,Even these trucks have,often,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,5,Even
6,Even Deanna did also require Rodney to disappear.,Even Deanna did ever require Rodney to disappear.,Even Deanna did,also,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,6,Even
7,Even Galileo really climbs down these hills.,Even Galileo ever climbs down these hills.,Even Galileo,really,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,7,Even
8,Even a lot of lamps often brighten.,Even a lot of lamps ever brighten.,Even a lot of lamps,often,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,8,Even
9,Even Brad often convinces John's doctors to debate.,Even Brad ever convinces John's doctors to debate.,Even Brad,often,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,9,Even
10,Even this carriage also maneuvers.,Even this carriage ever maneuvers.,Even this carriage,also,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,10,Even
11,Even a muffin can certainly blacken.,Even a muffin can ever blacken.,Even a muffin can,certainly,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,11,Even
12,Even Wayne had also answered.,Even Wayne had ever answered.,Even Wayne had,also,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,12,Even
13,Even that shawl often frays.,Even that shawl ever frays.,Even that shawl,often,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,13,Even
14,Even Susan could also clean this screen.,Even Susan could ever clean this screen.,Even Susan could,also,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,14,Even
15,Even many birds can really bore Kimberley.,Even many birds can ever bore Kimberley.,Even many birds can,really,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,15,Even
16,Even some universities had really communicated.,Even some universities had ever communicated.,Even some universities had,really,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,16,Even
17,Even Alexander should often blink.,Even Alexander should ever blink.,Even Alexander should,often,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,17,Even
18,Even these legislatures certainly assembled.,Even these legislatures ever assembled.,Even these legislatures,certainly,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,18,Even
19,Even these drivers do also assemble.,Even these drivers do ever assemble.,Even these drivers do,also,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,19,Even
20,Even Patrick also flees from Sherry.,Even Patrick ever flees from Sherry.,Even Patrick,also,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,20,Even
21,Even a boy has also researched all restaurants.,Even a boy has ever researched all restaurants.,Even a boy has,also,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,21,Even
22,Even a hat certainly twisted.,Even a hat ever twisted.,Even a hat,certainly,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,22,Even
23,Even Raymond certainly revealed who didn't doubt all teenagers complain.,Even Raymond ever revealed who didn't doubt all teenagers complain.,Even Raymond,certainly,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,23,Even
24,Even George would clearly wash.,Even George would ever wash.,Even George would,clearly,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,24,Even
25,Even Cynthia had often examined essays.,Even Cynthia had ever examined essays.,Even Cynthia had,often,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,25,Even
26,Even the Borgias really remember Marla.,Even the Borgias ever remember Marla.,Even the Borgias,really,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,26,Even
27,Even the guys often embrace.,Even the guys ever embrace.,Even the guys,often,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,27,Even
28,Even Danielle also leaves.,Even Danielle ever leaves.,Even Danielle,also,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,28,Even
29,Even a shirt certainly tightens.,Even a shirt ever tightens.,Even a shirt,certainly,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,29,Even
30,Even some closet really shuts.,Even some closet ever shuts.,Even some closet,really,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,30,Even
31,Even this teacher can also discover Heather.,Even this teacher can ever discover Heather.,Even this teacher can,also,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,31,Even
32,Even Dana had certainly investigated Gary.,Even Dana had ever investigated Gary.,Even Dana had,certainly,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,32,Even
33,Even Peter has clearly shrugged.,Even Peter has ever shrugged.,Even Peter has,clearly,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,33,Even
34,Even Ellen also wastes away.,Even Ellen ever wastes away.,Even Ellen,also,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,34,Even
35,Even some cashier had clearly fixed this computer.,Even some cashier had ever fixed this computer.,Even some cashier had,clearly,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,35,Even
36,Even Kevin will also walk through the hospital.,Even Kevin will ever walk through the hospital.,Even Kevin will,also,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,36,Even
37,Even Eva had certainly woken up.,Even Eva had ever woken up.,Even Eva had,certainly,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,37,Even
38,Even a cart clearly chips.,Even a cart ever chips.,Even a cart,clearly,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,38,Even
39,Even these cats had really climbed down these steps.,Even these cats had ever climbed down these steps.,Even these cats had,really,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,39,Even
40,Even Jerry also visited these schools.,Even Jerry ever visited these schools.,Even Jerry,also,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,40,Even
41,Even every blouse also crumpled.,Even every blouse ever crumpled.,Even every blouse,also,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,41,Even
42,Even a lot of men had really married.,Even a lot of men had ever married.,Even a lot of men had,really,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,42,Even
43,Even some hospital can also retaliate.,Even some hospital can ever retaliate.,Even some hospital can,also,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,43,Even
44,Even customers really assemble.,Even customers ever assemble.,Even customers,really,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,44,Even
45,Even Tara has certainly baked.,Even Tara has ever baked.,Even Tara has,certainly,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,45,Even
46,Even many hospitals clearly advise Florence to hunt.,Even many hospitals ever advise Florence to hunt.,Even many hospitals,clearly,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,46,Even
47,Even most children really fall asleep.,Even most children ever fall asleep.,Even most children,really,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,47,Even
48,Even Veronica often fell asleep.,Even Veronica ever fell asleep.,Even Veronica,often,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,48,Even
49,Even some skateboards clearly rust.,Even some skateboards ever rust.,Even some skateboards,clearly,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,49,Even
50,Even this hospital has also met.,Even this hospital has ever met.,Even this hospital has,also,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,50,Even
51,Even all movie theaters often appear.,Even all movie theaters ever appear.,Even all movie theaters,often,ever,semantics,npi_licensing,npi_present_1,True,True,False,False,51,Even
