,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,target,target_phrase
0,Those radii have scared that teenager.,Those radii has scared that teenager.,Those radii,have,has,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,0,radii,Those radii
1,This goose isn't bothering Edward.,This goose weren't bothering Edward.,This goose,isn't,weren't,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,1,goose,This goose
2,The axes haven't stunned that teenager.,The axes hasn't stunned that teenager.,The axes,haven't,hasn't,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,2,axes,The axes
3,The radius is boring Carla.,The radius were boring Carla.,The radius,is,were,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,3,radius,The radius
4,All hypotheses have hurt Beth.,All hypotheses has hurt Beth.,All hypotheses,have,has,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,4,hypotheses,All hypotheses
5,That woman isn't irritating Dennis.,That woman weren't irritating Dennis.,That woman,isn't,weren't,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,5,woman,That woman
6,An alumnus doubts every sweater flattens.,An alumnus doubt every sweater flattens.,An alumnus,doubts,doubt,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,6,alumnus,An alumnus
7,The people weren't boycotting those mountains.,The people isn't boycotting those mountains.,The people,weren't,isn't,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,7,people,The people
8,These hypotheses embarrass Dennis.,These hypotheses embarrasses Dennis.,These hypotheses,embarrass,embarrasses,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,8,hypotheses,These hypotheses
9,Men have compromised.,Men has compromised.,Men,have,has,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,9,Men,Men
10,All radii weren't upsetting every bank.,All radii wasn't upsetting every bank.,All radii,weren't,wasn't,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,10,radii,All radii
11,Some parentheses scare these adults.,Some parentheses scares these adults.,Some parentheses,scare,scares,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,11,parentheses,Some parentheses
12,Some analyses weren't astounding this actress.,Some analyses wasn't astounding this actress.,Some analyses,weren't,wasn't,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,12,analyses,Some analyses
13,Many people have hidden away.,Many people has hidden away.,Many people,have,has,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,13,people,Many people
14,Mice are hurting a waiter.,Mice was hurting a waiter.,Mice,are,was,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,14,Mice,Mice
15,Hypotheses haven't astounded this hospital.,Hypotheses hasn't astounded this hospital.,Hypotheses,haven't,hasn't,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,15,Hypotheses,Hypotheses
16,A lot of men have laughed.,A lot of men has laughed.,A lot of men,have,has,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,16,lot,A lot of men
17,A diagnosis isn't worrying Frank.,A diagnosis aren't worrying Frank.,A diagnosis,isn't,aren't,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,17,diagnosis,A diagnosis
18,Many hypotheses astound Elizabeth.,Many hypotheses astounds Elizabeth.,Many hypotheses,astound,astounds,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,18,hypotheses,Many hypotheses
19,An ox isn't climbing up those steps.,An ox aren't climbing up those steps.,An ox,isn't,aren't,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,19,ox,An ox
20,Most women are hiding the shirts.,Most women is hiding the shirts.,Most women,are,is,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,20,women,Most women
21,This woman hasn't dropped by the glacier.,This woman haven't dropped by the glacier.,This woman,hasn't,haven't,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,21,woman,This woman
22,This diagnosis alarms a lot of governments.,This diagnosis alarm a lot of governments.,This diagnosis,alarms,alarm,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,22,diagnosis,This diagnosis
23,The alumni aren't finding many bikes.,The alumni isn't finding many bikes.,The alumni,aren't,isn't,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,True,True,False,False,23,alumni,The alumni
