,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,target,target_phrase
0,Katherine can't help herself.,Katherine can't help himself.,Katherine can't help,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,0,Katherine,Katherine
1,Karla could listen to herself.,Karla could listen to himself.,Karla could listen to,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,1,Karla,Karla
2,Marie won't think about herself.,Marie won't think about itself.,Marie won't think about,herself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,2,Marie,Marie
3,Mark hasn't discussed himself.,Mark hasn't discussed itself.,Mark hasn't discussed,himself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,3,Mark,Mark
4,Stephen impressed himself.,Stephen impressed itself.,Stephen impressed,himself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,4,Stephen,Stephen
5,Christina boasts about herself.,Christina boasts about himself.,Christina boasts about,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,5,Christina,Christina
6,Suzanne would irritate herself.,Suzanne would irritate itself.,Suzanne would irritate,herself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,6,Suzanne,Suzanne
7,Rose couldn't reference herself.,Rose couldn't reference itself.,Rose couldn't reference,herself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,7,NA,NA
8,Paul should stun himself.,Paul should stun herself.,Paul should stun,himself,herself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,8,Paul,Paul
9,Kristen praises herself.,Kristen praises himself.,Kristen praises,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,9,Kristen,Kristen
10,Tamara might work with herself.,Tamara might work with himself.,Tamara might work with,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,10,Tamara,Tamara
11,Valerie remembers herself.,Valerie remembers itself.,Valerie remembers,herself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,11,Valerie,Valerie
12,Kristen hasn't worked with herself.,Kristen hasn't worked with itself.,Kristen hasn't worked with,herself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,12,Kristen,Kristen
13,Kendra disturbed herself.,Kendra disturbed himself.,Kendra disturbed,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,13,Kendra,Kendra
14,Lawrence had boasted about himself.,Lawrence had boasted about herself.,Lawrence had boasted about,himself,herself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,14,Lawrence,Lawrence
15,Jason wasn't listening to himself.,Jason wasn't listening to herself.,Jason wasn't listening to,himself,herself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,15,Jason,Jason
16,Sabrina disturbs herself.,Sabrina disturbs himself.,Sabrina disturbs,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,16,Sabrina,Sabrina
17,Some essay doesn't disagree with itself.,Some essay doesn't disagree with himself.,Some essay doesn't disagree with,itself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,17,essay,Some essay
18,Kenneth wasn't admiring himself.,Kenneth wasn't admiring itself.,Kenneth wasn't admiring,himself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,18,Kenneth,Kenneth
19,Melanie had referenced herself.,Melanie had referenced itself.,Melanie had referenced,herself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,19,Melanie,Melanie
20,Larry reveals himself.,Larry reveals itself.,Larry reveals,himself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,20,Larry,Larry
21,Samantha isn't watching herself.,Samantha isn't watching itself.,Samantha isn't watching,herself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,21,Samantha,Samantha
22,Rachel should like herself.,Rachel should like himself.,Rachel should like,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,22,Rachel,Rachel
23,Heather has helped herself.,Heather has helped itself.,Heather has helped,herself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,23,Heather,Heather
24,Lori has found herself.,Lori has found itself.,Lori has found,herself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,24,Lori,Lori
25,Christina hadn't shocked herself.,Christina hadn't shocked itself.,Christina hadn't shocked,herself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,25,Christina,Christina
26,Theresa wasn't alarming herself.,Theresa wasn't alarming himself.,Theresa wasn't alarming,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,26,Theresa,Theresa
27,Jacqueline works with herself.,Jacqueline works with himself.,Jacqueline works with,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,27,Jacqueline,Jacqueline
28,Alan hires himself.,Alan hires herself.,Alan hires,himself,herself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,28,Alan,Alan
29,April isn't complaining about herself.,April isn't complaining about himself.,April isn't complaining about,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,29,NA,NA
30,Scott had questioned himself.,Scott had questioned herself.,Scott had questioned,himself,herself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,30,Scott,Scott
31,Wayne helps himself.,Wayne helps itself.,Wayne helps,himself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,31,Wayne,Wayne
32,Amelia heals herself.,Amelia heals himself.,Amelia heals,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,32,Amelia,Amelia
33,Debra is disgusting herself.,Debra is disgusting itself.,Debra is disgusting,herself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,33,Debra,Debra
34,Irene has admired herself.,Irene has admired himself.,Irene has admired,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,34,Irene,Irene
35,Brad distracted himself.,Brad distracted herself.,Brad distracted,himself,herself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,35,Brad,Brad
36,Sherry wouldn't cure herself.,Sherry wouldn't cure itself.,Sherry wouldn't cure,herself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,36,Sherry,Sherry
37,Ronald upset himself.,Ronald upset itself.,Ronald upset,himself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,37,Ronald,Ronald
38,Catherine hasn't noticed herself.,Catherine hasn't noticed himself.,Catherine hasn't noticed,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,38,Catherine,Catherine
39,Susan shouldn't criticize herself.,Susan shouldn't criticize himself.,Susan shouldn't criticize,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,39,Susan,Susan
40,Dawn has described herself.,Dawn has described himself.,Dawn has described,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,40,Dawn,Dawn
41,Joseph describes himself.,Joseph describes herself.,Joseph describes,himself,herself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,41,Joseph,Joseph
42,Catherine isn't hurting herself.,Catherine isn't hurting himself.,Catherine isn't hurting,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,42,Catherine,Catherine
43,Tracy alarmed herself.,Tracy alarmed itself.,Tracy alarmed,herself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,43,Tracy,Tracy
44,Heather has embarrassed herself.,Heather has embarrassed himself.,Heather has embarrassed,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,44,Heather,Heather
45,Sharon hurt herself.,Sharon hurt itself.,Sharon hurt,herself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,45,Sharon,Sharon
46,Marie might admire herself.,Marie might admire himself.,Marie might admire,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,46,Marie,Marie
47,Susan did love herself.,Susan did love itself.,Susan did love,herself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,47,Susan,Susan
48,Russell hasn't hired himself.,Russell hasn't hired herself.,Russell hasn't hired,himself,herself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,48,Russell,Russell
49,Every man insulted himself.,Every man insulted itself.,Every man insulted,himself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,49,man,Every man
50,Marie had insulted herself.,Marie had insulted himself.,Marie had insulted,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,50,Marie,Marie
51,Steve wasn't describing himself.,Steve wasn't describing itself.,Steve wasn't describing,himself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,51,Steve,Steve
52,Roger had known himself.,Roger had known herself.,Roger had known,himself,herself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,52,Roger,Roger
53,Larry boasts about himself.,Larry boasts about herself.,Larry boasts about,himself,herself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,53,Larry,Larry
54,Kayla complains about herself.,Kayla complains about himself.,Kayla complains about,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,54,Kayla,Kayla
55,A bird had found itself.,A bird had found herself.,A bird had found,itself,herself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,55,bird,A bird
56,Ellen wasn't worrying herself.,Ellen wasn't worrying himself.,Ellen wasn't worrying,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,56,Ellen,Ellen
57,Debra wasn't investigating herself.,Debra wasn't investigating itself.,Debra wasn't investigating,herself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,57,Debra,Debra
58,Larry referenced himself.,Larry referenced herself.,Larry referenced,himself,herself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,58,Larry,Larry
59,Joel does complain about himself.,Joel does complain about herself.,Joel does complain about,himself,herself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,59,Joel,Joel
60,Gregory won't attack himself.,Gregory won't attack itself.,Gregory won't attack,himself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,60,Gregory,Gregory
61,Christine hasn't questioned herself.,Christine hasn't questioned himself.,Christine hasn't questioned,herself,himself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,61,Christine,Christine
62,Natalie returned to herself.,Natalie returned to itself.,Natalie returned to,herself,itself,morphology,anaphor_agreement,anaphor_gender_agreement,True,True,False,False,62,Natalie,Natalie
