,Sentence_good,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,target
0,Friends Juana and Kristi found a mango at the bar. Kristi gave it to Juana,Friends Juana and Kristi found a mango at the bar. Kristi gave it to,Juana,Kristi,Juana
1,"Then, Yvette and Angie were working at the mountain. Yvette decided to give a banana to Angie","Then, Yvette and Angie were working at the mountain. Yvette decided to give a banana to",Angie,Yvette,Angie
2,"After Doris and Marsha went to the mountain, Marsha gave a strawberry to Doris","After Doris and Marsha went to the mountain, Marsha gave a strawberry to",Doris,Marsha,Doris
3,"While Bernadette and Harriet were commuting to the desert, Bernadette gave a watermelon to Harriet","While Bernadette and Harriet were commuting to the desert, Bernadette gave a watermelon to",Harriet,Bernadette,Harriet
4,"Afterwards, Ginger and Bernadette went to the library. Bernadette gave a mango to Ginger","Afterwards, Ginger and Bernadette went to the library. Bernadette gave a mango to",Ginger,Bernadette,Ginger
5,"Then, Faye and Rosa had a lot of fun at the theater. Faye gave a blackberry to Rosa","Then, Faye and Rosa had a lot of fun at the theater. Faye gave a blackberry to",Rosa,Faye,Rosa
6,"Afterwards, David and Estelle went to the zoo. Estelle gave a mango to David","Afterwards, David and Estelle went to the zoo. Estelle gave a mango to",David,Estelle,David
7,"After the lunch, Martha and Theresa went to the river. Martha gave a mango to Theresa","After the lunch, Martha and Theresa went to the river. Martha gave a mango to",Theresa,Martha,Theresa
8,"While Sarah and Teresa were commuting to the park, Teresa gave a orange to Sarah","While Sarah and Teresa were commuting to the park, Teresa gave a orange to",Sarah,Teresa,Sarah
9,Friends Kristi and Chelsea found a papaya at the shop. Kristi gave it to Chelsea,Friends Kristi and Chelsea found a papaya at the shop. Kristi gave it to,Chelsea,Kristi,Chelsea
10,"When David and Carol got a raspberry at the theater, Carol decided to give the raspberry to David","When David and Carol got a raspberry at the theater, Carol decided to give the raspberry to",David,Carol,David
11,"Afterwards, Suzanne and Lorraine went to the forest. Suzanne gave a raspberry to Lorraine","Afterwards, Suzanne and Lorraine went to the forest. Suzanne gave a raspberry to",Lorraine,Suzanne,Lorraine
12,"After Janet and Lee went to the lake, Lee gave a honeydew to Janet","After Janet and Lee went to the lake, Lee gave a honeydew to",Janet,Lee,Janet
13,"Then, Agnes and Virginia were thinking about going to the theater. Agnes wanted to give a apple to Virginia","Then, Agnes and Virginia were thinking about going to the theater. Agnes wanted to give a apple to",Virginia,Agnes,Virginia
14,"Afterwards, Mattie and Stacey went to the library. Stacey gave a strawberry to Mattie","Afterwards, Mattie and Stacey went to the library. Stacey gave a strawberry to",Mattie,Stacey,Mattie
15,"When Ethel and Deanna got a pineapple at the cave, Ethel decided to give it to Deanna","When Ethel and Deanna got a pineapple at the cave, Ethel decided to give it to",Deanna,Ethel,Deanna
16,"Then, Deanna and Eleanor were thinking about going to the home. Eleanor wanted to give a watermelon to Deanna","Then, Deanna and Eleanor were thinking about going to the home. Eleanor wanted to give a watermelon to",Deanna,Eleanor,Deanna
17,"While Suzanne and Stacy were working at the beach, Suzanne gave a apple to Stacy","While Suzanne and Stacy were working at the beach, Suzanne gave a apple to",Stacy,Suzanne,Stacy
18,"Then, Amanda and Lee had a lot of fun at the zoo. Lee gave a blueberry to Amanda","Then, Amanda and Lee had a lot of fun at the zoo. Lee gave a blueberry to",Amanda,Lee,Amanda
