,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,target
0,Rebecca was criticizing those good documentaries.,Rebecca was criticizing those good documentary.,Rebecca was criticizing those good,documentaries,documentary,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,0,those
1,Some college campus embarrassed those bad legislatures.,Some college campus embarrassed those bad legislature.,Some college campus embarrassed those bad,legislatures,legislature,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,1,those
2,All men weren't questioning these unemployed cashiers.,All men weren't questioning these unemployed cashier.,All men weren't questioning these unemployed,cashiers,cashier,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,2,these
3,Sara hasn't bored this displeased senator.,Sara hasn't bored this displeased senators.,Sara hasn't bored this displeased,senator,senators,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,3,this
4,A lot of pedestrians kiss this displeased teenager.,A lot of pedestrians kiss this displeased teenagers.,A lot of pedestrians kiss this displeased,teenager,teenagers,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,4,this
5,James is healing this uncertain actress.,James is healing this uncertain actresses.,James is healing this uncertain,actress,actresses,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,5,this
6,Diane should complain about these unconvinced drivers.,Diane should complain about these unconvinced driver.,Diane should complain about these unconvinced,drivers,driver,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,6,these
7,Phillip liked that smooth horse.,Phillip liked that smooth horses.,Phillip liked that smooth,horse,horses,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,7,that
8,Tracy praises those lucky guys.,Tracy praises those lucky guy.,Tracy praises those lucky,guys,guy,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,8,those
9,A doctor had returned to these fast girls.,A doctor had returned to these fast girl.,A doctor had returned to these fast,girls,girl,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,True,True,False,True,9,these
