,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,target
0,Some waiters broke this lost foot.,Some waiters broke this lost feet.,Some waiters broke this lost,foot,feet,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,0,this
1,The company talks about those big women.,The company talks about those big woman.,The company talks about those big,women,woman,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,1,those
2,This blouse astounds this lost woman.,This blouse astounds this lost women.,This blouse astounds this lost,woman,women,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,2,this
3,David wasn't kissing these standing children.,David wasn't kissing these standing child.,David wasn't kissing these standing,children,child,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,3,these
4,This person shouldn't criticize this upset child.,This person shouldn't criticize this upset children.,This person shouldn't criticize this upset,child,children,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,4,this
5,These tomatoes astound that concealed person.,These tomatoes astound that concealed people.,These tomatoes astound that concealed,person,people,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,5,that
6,Sally hasn't cleaned these white oxen.,Sally hasn't cleaned these white ox.,Sally hasn't cleaned these white,oxen,ox,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,6,these
7,These doors would astound those happy children.,These doors would astound those happy child.,These doors would astound those happy,children,child,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,7,those
8,Katherine is biking to these red oases.,Katherine is biking to these red oasis.,Katherine is biking to these red,oases,oasis,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,8,these
9,Katherine hadn't praised this lost man.,Katherine hadn't praised this lost men.,Katherine hadn't praised this lost,man,men,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,9,this
10,The driver sees that unlucky person.,The driver sees that unlucky people.,The driver sees that unlucky,person,people,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,10,that
11,Edward hadn't described this nice woman.,Edward hadn't described this nice women.,Edward hadn't described this nice,woman,women,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,11,this
12,Heidi returns to that big woman.,Heidi returns to that big women.,Heidi returns to that big,woman,women,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,12,that
13,Sara listened to that unconvinced person.,Sara listened to that unconvinced people.,Sara listened to that unconvinced,person,people,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,13,that
14,Samuel had listened to these concealed people.,Samuel had listened to these concealed person.,Samuel had listened to these concealed,people,person,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,14,these
15,Richard flees from those unconvinced men.,Richard flees from those unconvinced man.,Richard flees from those unconvinced,men,man,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,15,those
16,Monica is cleaning that hidden axis.,Monica is cleaning that hidden axes.,Monica is cleaning that hidden,axis,axes,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,16,that
17,Veronica does break those hard teeth.,Veronica does break those hard tooth.,Veronica does break those hard,teeth,tooth,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,17,those
18,Rachel drove to those blue oases.,Rachel drove to those blue oasis.,Rachel drove to those blue,oases,oasis,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,18,those
19,These cashiers do break this whole tooth.,These cashiers do break this whole teeth.,These cashiers do break this whole,tooth,teeth,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,19,this
20,Rose dislikes this bad synopsis.,Rose dislikes this bad synopses.,Rose dislikes this bad,synopsis,synopses,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,20,this
21,Becky had fixed this hard foot.,Becky had fixed this hard feet.,Becky had fixed this hard,foot,feet,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,21,this
22,Gerald questioned those unconvinced men.,Gerald questioned those unconvinced man.,Gerald questioned those unconvinced,men,man,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,22,those
23,Stacy doesn't impress this determined person.,Stacy doesn't impress this determined people.,Stacy doesn't impress this determined,person,people,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,23,this
24,Nina won't run around this smooth oasis.,Nina won't run around this smooth oases.,Nina won't run around this smooth,oasis,oases,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,24,this
25,That committee works with those out in the open women.,That committee works with those out in the open woman.,That committee works with those out in the open,women,woman,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,25,those
