,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,target
0,Amanda was respected by some waitresses.,Amanda was respected by some picture.,Amanda was respected by some,waitresses,picture,syntax,s-selection,animate_subject_passive,True,True,False,False,0,respected
1,Some lake was passed by some cashiers.,Some lake was passed by some phenomena.,Some lake was passed by some,cashiers,phenomena,syntax,s-selection,animate_subject_passive,True,True,False,False,1,passed
2,Lisa was kissed by the boys.,Lisa was kissed by the blouses.,Lisa was kissed by the,boys,blouses,syntax,s-selection,animate_subject_passive,True,True,False,False,2,kissed
3,Amanda isn't respected by the children.,Amanda isn't respected by the cups.,Amanda isn't respected by the,children,cups,syntax,s-selection,animate_subject_passive,True,True,False,False,3,respected
4,The glove was noticed by some woman.,The glove was noticed by some mouse.,The glove was noticed by some,woman,mouse,syntax,s-selection,animate_subject_passive,True,True,False,False,4,noticed
5,Gerald is hated by the teachers.,Gerald is hated by the pie.,Gerald is hated by the,teachers,pie,syntax,s-selection,animate_subject_passive,True,True,False,False,5,hated
6,Most actresses weren't discussed by some offspring.,Most actresses weren't discussed by some ladder.,Most actresses weren't discussed by some,offspring,ladder,syntax,s-selection,animate_subject_passive,True,True,False,False,6,discussed
7,These students were talked about by the teacher.,These students were talked about by the books.,These students were talked about by the,teacher,books,syntax,s-selection,animate_subject_passive,True,True,False,False,7,talked
8,Deborah was talked to by the teacher.,Deborah was talked to by the ellipses.,Deborah was talked to by the,teacher,ellipses,syntax,s-selection,animate_subject_passive,True,True,False,False,8,talked
9,Cafes were cleaned by some lady.,Cafes were cleaned by some hat.,Cafes were cleaned by some,lady,hat,syntax,s-selection,animate_subject_passive,True,True,False,False,9,cleaned
10,Patricia is referenced by some offspring.,Patricia is referenced by some shawl.,Patricia is referenced by some,offspring,shawl,syntax,s-selection,animate_subject_passive,True,True,False,False,10,referenced
11,Galileo is concealed by the woman.,Galileo is concealed by the horse.,Galileo is concealed by the,woman,horse,syntax,s-selection,animate_subject_passive,True,True,False,False,11,concealed
12,A lot of high schools aren't visited by some teachers.,A lot of high schools aren't visited by some socks.,A lot of high schools aren't visited by some,teachers,socks,syntax,s-selection,animate_subject_passive,True,True,False,False,12,visited
13,Andrew was questioned by some pedestrian.,Andrew was questioned by some apple.,Andrew was questioned by some,pedestrian,apple,syntax,s-selection,animate_subject_passive,True,True,False,False,13,questioned
14,A lot of computers aren't bought by the senators.,A lot of computers aren't bought by the gate.,A lot of computers aren't bought by the,senators,gate,syntax,s-selection,animate_subject_passive,True,True,False,False,14,bought
15,Those schools are cleaned by the customers.,Those schools are cleaned by the socks.,Those schools are cleaned by the,customers,socks,syntax,s-selection,animate_subject_passive,True,True,False,False,15,cleaned
16,Chad wasn't forgotten by the teacher.,Chad wasn't forgotten by the brochure.,Chad wasn't forgotten by the,teacher,brochure,syntax,s-selection,animate_subject_passive,True,True,False,False,16,forgotten
17,Deanna was hired by the offspring.,Deanna was hired by the candles.,Deanna was hired by the,offspring,candles,syntax,s-selection,animate_subject_passive,True,True,False,False,17,hired
18,Lisa wasn't cured by the ladies.,Lisa wasn't cured by the deer.,Lisa wasn't cured by the,ladies,deer,syntax,s-selection,animate_subject_passive,True,True,False,False,18,cured
19,Valerie was hugged by the pedestrian.,Valerie was hugged by the diagnoses.,Valerie was hugged by the,pedestrian,diagnoses,syntax,s-selection,animate_subject_passive,True,True,False,False,19,hugged
