,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,target,target_phrase
0,Susan revealed herself.,Susan revealed themselves.,Susan revealed,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,0,Susan,Susan
1,Renee hasn't hurt herself.,Renee hasn't hurt themselves.,Renee hasn't hurt,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,1,Renee,Renee
2,These patients do respect themselves.,These patients do respect himself.,These patients do respect,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,2,patients,These patients
3,Mary should criticize herself.,Mary should criticize themselves.,Mary should criticize,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,3,Mary,Mary
4,Kristin irritated herself.,Kristin irritated themselves.,Kristin irritated,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,4,Kristin,Kristin
5,Tracy described herself.,Tracy described themselves.,Tracy described,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,5,Tracy,Tracy
6,A lot of girls had bothered themselves.,A lot of girls had bothered himself.,A lot of girls had bothered,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,6,lot,A lot of girls
7,Many teenagers were helping themselves.,Many teenagers were helping herself.,Many teenagers were helping,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,7,teenagers,Many teenagers
8,Girls talked to themselves.,Girls talked to itself.,Girls talked to,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,8,Girls,Girls
9,All senators listened to themselves.,All senators listened to itself.,All senators listened to,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,9,senators,All senators
10,Laura hired herself.,Laura hired themselves.,Laura hired,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,10,Laura,Laura
11,Claire won't conceal herself.,Claire won't conceal themselves.,Claire won't conceal,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,11,Claire,Claire
12,Becca shouldn't impress herself.,Becca shouldn't impress themselves.,Becca shouldn't impress,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,12,Becca,Becca
13,This woman has criticized herself.,This woman has criticized themselves.,This woman has criticized,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,13,woman,This woman
14,Sonia would cure herself.,Sonia would cure themselves.,Sonia would cure,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,14,Sonia,Sonia
15,Most girls hate themselves.,Most girls hate himself.,Most girls hate,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,15,girls,Most girls
16,This legislature worried itself.,This legislature worried themselves.,This legislature worried,itself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,16,legislature,This legislature
17,Florence had left herself.,Florence had left themselves.,Florence had left,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,17,Florence,Florence
18,The Borgias scare themselves.,The Borgias scare himself.,The Borgias scare,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,18,NA,NA
19,The adults hadn't forgotten themselves.,The adults hadn't forgotten himself.,The adults hadn't forgotten,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,19,adults,The adults
20,The patients disgusted themselves.,The patients disgusted himself.,The patients disgusted,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,20,patients,The patients
21,Thomas complained about himself.,Thomas complained about themselves.,Thomas complained about,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,21,Thomas,Thomas
22,Randolf knew himself.,Randolf knew themselves.,Randolf knew,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,22,Randolf,Randolf
23,The students shouldn't upset themselves.,The students shouldn't upset herself.,The students shouldn't upset,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,23,students,The students
24,All waiters couldn't criticize themselves.,All waiters couldn't criticize himself.,All waiters couldn't criticize,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,24,waiters,All waiters
25,Ronald can't reference himself.,Ronald can't reference themselves.,Ronald can't reference,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,25,Ronald,Ronald
