,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,target
0,Raymond is selling this sketch.,Raymond is selling this sketches.,Raymond is selling this,sketch,sketches,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,0,this
1,Craig explored that grocery store.,Craig explored that grocery stores.,Craig explored that,grocery store,grocery stores,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,1,that
2,Eva has scared these children.,Eva has scared these child.,Eva has scared these,children,child,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,2,these
3,Marcus would conceal that pamphlet.,Marcus would conceal that pamphlets.,Marcus would conceal that,pamphlet,pamphlets,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,3,that
4,Carmen hadn't shocked these customers.,Carmen hadn't shocked these customer.,Carmen hadn't shocked these,customers,customer,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,4,these
5,The Impressionists were walking through this library.,The Impressionists were walking through this libraries.,The Impressionists were walking through this,library,libraries,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,5,this
6,Some men weren't touring those cafes.,Some men weren't touring those cafe.,Some men weren't touring those,cafes,cafe,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,6,those
7,Leslie isn't firing that actress.,Leslie isn't firing that actresses.,Leslie isn't firing that,actress,actresses,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,7,that
8,Jennifer concealed those cups.,Jennifer concealed those cup.,Jennifer concealed those,cups,cup,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,8,those
9,A waitress does take those hospitals.,A waitress does take those hospital.,A waitress does take those,hospitals,hospital,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,9,those
10,The man walks through those hospitals.,The man walks through those hospital.,The man walks through those,hospitals,hospital,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,10,those
11,Winston Churchill boycotts these public parks.,Winston Churchill boycotts these public park.,Winston Churchill boycotts these,public parks,public park,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,11,these
12,This sock disturbs that customer.,This sock disturbs that customers.,This sock disturbs that,customer,customers,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,12,that
13,William described this movie.,William described this movies.,William described this,movie,movies,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,13,this
14,Monet dropped by those libraries.,Monet dropped by those library.,Monet dropped by those,libraries,library,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,14,those
15,Elaine was biking to this bank.,Elaine was biking to this banks.,Elaine was biking to this,bank,banks,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,15,this
16,These senators wear that jacket.,These senators wear that jackets.,These senators wear that,jacket,jackets,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,16,that
17,The Lutherans notice that drawing.,The Lutherans notice that drawings.,The Lutherans notice that,drawing,drawings,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,17,that
18,Cheryl is hurting that teacher.,Cheryl is hurting that teachers.,Cheryl is hurting that,teacher,teachers,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,18,that
19,Russell might break those cups.,Russell might break those cup.,Russell might break those,cups,cup,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,19,those
20,A lot of patients resemble these pictures.,A lot of patients resemble these picture.,A lot of patients resemble these,pictures,picture,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,20,these
21,Vanessa can talk to these doctors.,Vanessa can talk to these doctor.,Vanessa can talk to these,doctors,doctor,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,21,these
22,Janice had worn this shawl.,Janice had worn this shawls.,Janice had worn this,shawl,shawls,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,22,this
23,A lot of waitresses find those jackets.,A lot of waitresses find those jacket.,A lot of waitresses find those,jackets,jacket,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,23,those
24,Every dancer hasn't admired this skirt.,Every dancer hasn't admired this skirts.,Every dancer hasn't admired this,skirt,skirts,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,24,this
25,The adult doesn't hide those malls.,The adult doesn't hide those mall.,The adult doesn't hide those,malls,mall,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,25,those
26,Samuel criticizes that art gallery.,Samuel criticizes that art galleries.,Samuel criticizes that,art gallery,art galleries,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,26,that
27,A teacher annoyed those senators.,A teacher annoyed those senator.,A teacher annoyed those,senators,senator,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,27,those
28,A teacher talked to that customer.,A teacher talked to that customers.,A teacher talked to that,customer,customers,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,28,that
29,Mark discovered this face.,Mark discovered this faces.,Mark discovered this,face,faces,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,29,this
30,Carmen toured these restaurants.,Carmen toured these restaurant.,Carmen toured these,restaurants,restaurant,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,30,these
