,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,target,target_phrase
0,Paula references Robert.,Paula reference Robert.,Paula,references,reference,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,0,Paula,Paula
1,Most legislatures haven't disliked children.,Most legislatures hasn't disliked children.,Most legislatures,haven't,hasn't,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,1,legislatures,Most legislatures
2,Some organizations aren't disturbing Vanessa.,Some organizations isn't disturbing Vanessa.,Some organizations,aren't,isn't,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,2,organizations,Some organizations
3,The cups alarm Angela.,The cups alarms Angela.,The cups,alarm,alarms,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,3,NA,NA
4,Tina isn't ascending that mountain.,Tina weren't ascending that mountain.,Tina,isn't,weren't,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,4,Tina,Tina
5,The Borgias see Veronica.,The Borgias sees Veronica.,The Borgias,see,sees,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,5,Borgias,The Borgias
6,Jeffrey hasn't criticized Donald.,Jeffrey haven't criticized Donald.,Jeffrey,hasn't,haven't,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,6,Jeffrey,Jeffrey
7,Michelle is impressing Deanna.,Michelle were impressing Deanna.,Michelle,is,were,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,7,Michelle,Michelle
8,Meredith researches this mountain.,Meredith research this mountain.,Meredith,researches,research,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,8,Meredith,Meredith
9,Walter was bringing the bank.,Walter were bringing the bank.,Walter,was,were,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,9,Walter,Walter
10,Randolf hasn't fled from Kayla.,Randolf haven't fled from Kayla.,Randolf,hasn't,haven't,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,10,Randolf,Randolf
11,Winston Churchill wasn't embarrassing Keith.,Winston Churchill weren't embarrassing Keith.,Winston Churchill,wasn't,weren't,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,11,Churchill,Winston Churchill
12,All mirrors disgust Suzanne.,All mirrors disgusts Suzanne.,All mirrors,disgust,disgusts,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,12,mirrors,All mirrors
13,A spotlight worries Jason.,A spotlight worry Jason.,A spotlight,worries,worry,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,13,spotlight,A spotlight
14,Carl hasn't irritated Brett.,Carl haven't irritated Brett.,Carl,hasn't,haven't,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,14,Carl,Carl
15,Bethany wasn't escaping from those men.,Bethany aren't escaping from those men.,Bethany,wasn't,aren't,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,15,Bethany,Bethany
16,Walter tours some closets.,Walter tour some closets.,Walter,tours,tour,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,16,Walter,Walter
17,Some eggplant has impressed those guys.,Some eggplant have impressed those guys.,Some eggplant,has,have,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,17,eggplant,Some eggplant
