,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,target
0,Laurie hasn't lifted those cacti.,Laurie hasn't lifted those cactus.,Laurie hasn't lifted those,cacti,cactus,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,0,those
1,Adam hadn't discussed these analyses.,Adam hadn't discussed these analysis.,Adam hadn't discussed these,analyses,analysis,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,1,these
2,Some customers know these men.,Some customers know these man.,Some customers know these,men,man,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,2,these
3,Phillip was lifting this mouse.,Phillip was lifting this mice.,Phillip was lifting this,mouse,mice,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,3,this
4,The driver reveals these mice.,The driver reveals these mouse.,The driver reveals these,mice,mouse,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,4,these
5,Anna will buy that louse.,Anna will buy that lice.,Anna will buy that,louse,lice,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,5,that
6,Rhonda had insulted these men.,Rhonda had insulted these man.,Rhonda had insulted these,men,man,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,6,these
7,All plays shock this alumnus.,All plays shock this alumni.,All plays shock this,alumnus,alumni,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,7,this
8,Grace noticed that axis.,Grace noticed that axes.,Grace noticed that,axis,axes,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,8,that
9,Patricia cleans these teeth.,Patricia cleans these tooth.,Patricia cleans these,teeth,tooth,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,9,these
10,Alan examined those analyses.,Alan examined those analysis.,Alan examined those,analyses,analysis,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,10,those
11,Travis fired these children.,Travis fired these child.,Travis fired these,children,child,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,11,these
12,The picture can't look like these nuclei.,The picture can't look like these nucleus.,The picture can't look like these,nuclei,nucleus,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,12,these
13,The waitresses haven't cleaned this thesis.,The waitresses haven't cleaned this theses.,The waitresses haven't cleaned this,thesis,theses,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,13,this
14,Pamela might boast about those bases.,Pamela might boast about those basis.,Pamela might boast about those,bases,basis,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,14,those
15,Tammy was observing that man.,Tammy was observing that men.,Tammy was observing that,man,men,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,15,that
16,Paul wasn't insulting this analysis.,Paul wasn't insulting this analyses.,Paul wasn't insulting this,analysis,analyses,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,16,this
17,Russell hadn't appreciated that synthesis.,Russell hadn't appreciated that syntheses.,Russell hadn't appreciated that,synthesis,syntheses,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,17,that
18,These waiters are appreciating that thesis.,These waiters are appreciating that theses.,These waiters are appreciating that,thesis,theses,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,18,that
19,The women didn't boast about this phenomenon.,The women didn't boast about this phenomena.,The women didn't boast about this,phenomenon,phenomena,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,19,this
20,Raymond concealed those nuclei.,Raymond concealed those nucleus.,Raymond concealed those,nuclei,nucleus,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,20,those
21,Sara has insulted these analyses.,Sara has insulted these analysis.,Sara has insulted these,analyses,analysis,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,21,these
22,Every guest cares for those men.,Every guest cares for those man.,Every guest cares for those,men,man,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,22,those
23,Heidi can research this ellipsis.,Heidi can research this ellipses.,Heidi can research this,ellipsis,ellipses,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,23,this
24,Paula won't buy these theses.,Paula won't buy these thesis.,Paula won't buy these,theses,thesis,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,24,these
25,Sheila wasn't bringing that fungus.,Sheila wasn't bringing that fungi.,Sheila wasn't bringing that,fungus,fungi,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,25,that
26,Diane talked about this man.,Diane talked about this men.,Diane talked about this,man,men,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,26,this
27,Linda discussed this oasis.,Linda discussed this oases.,Linda discussed this,oasis,oases,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,27,this
28,Richard healed that goose.,Richard healed that geese.,Richard healed that,goose,geese,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,28,that
29,Patients think about these cacti.,Patients think about these cactus.,Patients think about these,cacti,cactus,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,29,these
30,The cashier isn't lifting these mice.,The cashier isn't lifting these mouse.,The cashier isn't lifting these,mice,mouse,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,30,these
31,Irene had discovered that crisis.,Irene had discovered that crises.,Irene had discovered that,crisis,crises,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,31,that
32,Andrea hasn't talked about that synopsis.,Andrea hasn't talked about that synopses.,Andrea hasn't talked about that,synopsis,synopses,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,32,that
33,Joel wasn't discovering that thesis.,Joel wasn't discovering that theses.,Joel wasn't discovering that,thesis,theses,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,33,that
34,Chad hasn't praised these theses.,Chad hasn't praised these thesis.,Chad hasn't praised these,theses,thesis,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,34,these
35,Keith isn't discovering this hypothesis.,Keith isn't discovering this hypotheses.,Keith isn't discovering this,hypothesis,hypotheses,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,35,this
36,Those people argue about that ellipsis.,Those people argue about that ellipses.,Those people argue about that,ellipsis,ellipses,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,36,that
37,Those adults hadn't cleaned this mouse.,Those adults hadn't cleaned this mice.,Those adults hadn't cleaned this,mouse,mice,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,37,this
38,Donald will buy these teeth.,Donald will buy these tooth.,Donald will buy these,teeth,tooth,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,38,these
39,Paintings look like this ox.,Paintings look like this oxen.,Paintings look like this,ox,oxen,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,39,this
40,Victoria has appreciated these media.,Victoria has appreciated these medium.,Victoria has appreciated these,media,medium,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,40,these
41,These pedestrians escape from these men.,These pedestrians escape from these man.,These pedestrians escape from these,men,man,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,41,these
42,Girls couldn't boast about those syntheses.,Girls couldn't boast about those synthesis.,Girls couldn't boast about those,syntheses,synthesis,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,42,those
43,Dana can argue about this basis.,Dana can argue about this bases.,Dana can argue about this,basis,bases,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,43,this
44,Brad questions that child.,Brad questions that children.,Brad questions that,child,children,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,44,that
45,Sonia was thinking about this hypothesis.,Sonia was thinking about this hypotheses.,Sonia was thinking about this,hypothesis,hypotheses,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,45,this
46,Most customers reveal that woman.,Most customers reveal that women.,Most customers reveal that,woman,women,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,46,that
47,Some boys discover that ox.,Some boys discover that oxen.,Some boys discover that,ox,oxen,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_1,True,True,False,True,47,that
